x,y,z,area
34.0924,-26.9336,-12.2918,1
27.1948,-22.5927,-24.7355,1
-19.7798,-14.6167,-22.5569,1
-27.7601,-16.0068,-18.5756,1
31.4679,-13.2624,-19.2381,1
-35.2338,-22.2087,-18.3295,1
-29.915,-14.5014,-17.3153,1
9.8167,24.5916,20.9953,2
-9.2496,43.5031,-15.5783,2
-4.624,47.5172,4.0111,2
8.4707,44.8339,4.7681,2
-9.6859,39.8864,-2.3446,2
8.1787,39.3013,-0.1188,2
-8.9228,37.2125,6.4362,2
8.488,41.5328,1.8987,2
-32.394,-21.5293,-15.1545,1
-4.8228,39.8221,-2.0304,2
-27.5159,-15.0308,-19.6417,1
-6.6941,42.8758,0.3632,2
-28.5259,-12.732,-21.1192,1
-4.7051,30.3231,16.3421,2
-25.4971,-23.8661,-16.0602,1
-9.3899,37.6952,4.9475,2
-36.8402,-33.026,-12.6983,1
